x,y
-62,174
-13,-50
-49,256
-150,61
-50,148
-86,225
-65,19
-110,133
11,14
12,-21
-123,163
-17,181
-40,197
-48,193
-129,125
-79,242
-38,14
-26,217
-47,194
-35,168
-23,142
-20,147
-59,76
-67,72
-81,137
-47,50
-54,11
-57,265
-115,144
-9,162
-112,149
-94,203
-7,-58
-76,108
-105,81
-79,219
-59,197
-52,56
-87,98
-109,196
-16,158
-43,141
-117,192
-78,183
-126,143
-108,197
-22,200
-2,178
-116,156
-10,-55
-21,201
-55,59
-29,197
-122,118
-31,7
-51,178
1,-41
-110,208
-119,159
-46,229
-53,104
-126,120
-25,172
-80,236
-55,180
-109,209
-8,-32
-35,14
-9,152
-45,229
-32,168
-11,-38
-74,22
-27,-46
-50,236
-130,127
-30,214
-111,140
-64,72
-5,158
-44,50
-26,-45
-103,229
32,45
-3,-62
-63,73
-24,144
43,54
35,50
-93,130
-58,8
-12,-25
-33,181
-47,17
36,51
-52,167
-46,98
28,47
-92,131
-54,243
-115,147
-9,165
-123,143
-96,246
-112,152
-27,196
-121,189
-28,151
-110,198
-97,137
-38,223
-67,16
-76,196
-56,174
-104,134
-44,148
-152,57
28,24
-63,171
-2,1
-44,184
29,25
-60,176
21,21
-48,150
39,38
-9,-1
-98,149
-19,213
-46,196
-26,174
-80,203
-6,152
-14,148
-65,182
-59,262
35,40
-39,240
-46,52
-12,-35
-34,206
-13,149
-47,7
-21,145
-61,72
-29,141
-99,225
-43,242
-57,78
30,46
-65,74
-44,17
-73,219
-60,9
-141,84
39,51
-62,85
-117,149
-89,131
23,43
35,17
-25,152
-128,139
24,44
-93,133
-127,140
-116,149
26,53
-124,145
-1,-9
-78,261
-85,222
-125,186
-45,29
-67,127
-63,17
-71,13
-46,186
-120,120
-57,176
-16,-52
-51,256
-12,184
-47,226
-55,222
-6,-1
-76,199
-56,177
-43,196
-22,-10
-78,238
-86,234
9,14
-107,211
-74,208
-55,258
-54,223
-102,146
-42,197
-2,4
-50,193
-31,206
-10,0
-101,147
20,28
-89,121
-63,259
-37,168
-100,228
-48,238
-14,151
-82,245
-83,137
-70,219
-49,13
-47,239
-114,149
-8,167
-108,229
-21,-32
-91,132
-56,10
-55,91
-82,137
-52,245
-60,241
-66,81
-94,248
-7,-13
-116,80
-138,178
-51,246
-119,191
-105,126
-12,174
22,50
-79,120
-60,133
21,-22
-8,180
26,56
-55,68
-50,183
